,user,text,favorite_count,retweet_count,created_at
0,JMilei,"@SoyNunaDel90 @frangonza22 Cuando se trata de mí, lo raro sería que ese ""medio"" no mienta...",28,5,2023-01-10 11:54:09+00:00
1,JMilei,La contundente expresión de Javier Milei sobre los incidentes en Brasil - MDZ Online https://t.co/R4Fn5NJzGo,341,67,2023-01-09 23:14:44+00:00
2,JMilei,"@rousafernandezz @Mileinnials Yo no voy a la playa...
Esa foto es de la época que hice la obra de teatro... EL CONSULTORIO DE MILEI",127,2,2023-01-09 20:35:00+00:00
3,JMilei,Javier Milei habló sobre el intento de golpe en Brasil y cuestionó la “doble moral” de la izquierda https://t.co/P9M3vGw9FD,310,56,2023-01-09 19:24:19+00:00
4,JMilei,Milei condenó la violencia en Brasil y acusó de doble moral a la izquierda https://t.co/VdMHaVXGrZ,777,126,2023-01-09 15:03:48+00:00
5,JMilei,https://t.co/WCEPr4DCyO,214,37,2023-01-09 15:03:19+00:00
6,JMilei,Javier Milei condenó la violencia ejercida en Brasil y apuntó contra la izquierda https://t.co/FlT4HsSGrk,529,105,2023-01-09 13:01:51+00:00
7,JMilei,Aquí les paso la declaración del @Foro_MAD recordándoles que a su vez soy firmante de Carta de Madrid. Así de paso pueden saber por donde pasa mi posición sin tener que inventar en línea con los que miserablemente intentan operar con estos episodios. https://t.co/f66FURaKU2,1404,429,2023-01-09 11:34:17+00:00
8,JMilei,"@guatafhak Falacia de autoridad.
Podrías rebatir el argumento.
Cualquier economista mediocre de Argentina podría demostrar que el argumento, al no especificar el modelo de dinero endógeno, está incompleto.
El PIM es normal que no lo sepan. Hay un problema de TVO vs TVS. Pero es mucho pedir.",13,1,2023-01-08 23:40:32+00:00
9,JMilei,"Acabo de leer este hilo de Blanchard y me parece de un nivel lamentable. Por empezar para meterte en este tema lo primero es abordar la cuestión del dinero pasivo.
Por otra parte, se nota que está flojo en teoría del valor y desconoce el Principio de Imputación de Menger (1871). https://t.co/DusRLkVxEG",309,47,2023-01-08 23:18:39+00:00
10,JMilei,Javier Milei llenó de elogios a Mick Jagger y lo tildó de ser libertario - MDZ Online https://t.co/xDrSkuJxay,517,60,2023-01-08 22:28:03+00:00
11,JMilei,"Si te gusta o querés empezar a indagar sobre el trabajo del Rey, podés buscar un albúm que contiene 7 discos (yo los tengo en vinilo) en los que encontrarás 100 temas de rock 'n' roll interpretados por Elvis...",213,21,2023-01-08 15:37:34+00:00
12,JMilei,"Hoy se cumplen 88 años del nacimiento de Elvis Presley, el Rey del Rock 'n' Roll. Les comparto aquí una bella pieza que explica un poquitito acerca del titán del que estamos hablando...

https://t.co/rJp4lZsabX",887,80,2023-01-08 15:33:46+00:00
13,JMilei,"@Rogue_trader90 @MickJagger @RollingStones En aquel momento podíamos pagar las entradas para ver a los Rolling Stones que llenaron 5 veces River.
Aquellas épocas donde el BCRA era una mera caja de conversión (aunque luego, frente al fracaso radical volvió a ser prestamista de última instancia y luego a bancar políticos).",41,9,2023-01-08 14:31:21+00:00
14,JMilei,"Nunca fue tan fácil la elección.
Socialismo vs. LIBERTAD
Si te equivocás es sólo porque te gusta venerar las cadenas que te hacen un esclavo que sueña con el amo bueno.
VIVA LA LIBERTAD CARAJO

https://t.co/GlKGhnaNrS",1111,238,2023-01-08 14:05:40+00:00
15,JMilei,"De paso les dejo esto...

https://t.co/1EKunm9phP",98,11,2023-01-08 13:47:53+00:00
